Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Lender_Geo_Location,Lender_HomeTown
415610,125,bellarmine927,,"San Jose, CA, United States"
415610,125,williammargetts264,,"Oslo, , Norway"
415610,125,peeryfa,,"Palo Alto, CA, United States"
415610,125,mannjes,,"Amsterdam, New York, United States"
415610,125,deimo,,"Tres Cantos, Madrid, Spain"
415610,125,peter5420772,,"Voorst, , Netherlands"
415610,125,nagesh999,,"Elm Grove, WI, United States"
415610,125,sharla690,,", , "
415610,125,mark542,,", , "
415610,125,qresheemee,,"Zagreb, , Croatia"
415610,125,holste,,"New York, NY, United States"
415610,125,kim904,,"Seattle, Washington, United States"
415610,125,christian380,,"Lyon, , France"
415610,125,brian4281877,,"Chelmsford, Essex, United Kingdom"
415610,125,Schascho,,"Ebi, , Switzerland"
415610,125,nuclearspik,,"San Francisco, CA, United States"
415610,125,kyuudoush,,", , Germany"
415610,125,jeffrey884,,"San Antonio, TX, United States"
415610,125,ccsh,,"Hong Kong, , Hong Kong"
415610,125,ibrahem629,,"Minia, Al Minya, Egypt"
415610,125,teresa230,,", , "
415610,125,brandy506,,"Richland, Washington, United States"
415610,125,eric329,,"Warren, NJ, United States"
415610,125,terry244,,"Plattsburgh, NY, United States"
415610,125,mimi586,,"Groton, MA, United States"
415610,125,martha720,,"Blacksburg, Virginia, United States"
415610,125,robert642,,"Guelph, Ontario, Canada"
415610,125,thephotoboothpeopl,,", , Australia"
415610,125,michelle319,,", , "
415610,125,roscoe266,,", , "
415610,125,joanne206,,"Callicoon Center, NY, United States"
415610,125,rebecca3926190,,", , "
415610,125,seiko516,,", Tokyo, Japan"
415610,125,faye673,,", , "
415610,125,simmie421,,", , "
415610,125,bill5291656,,"Odessa, TX, United States"
415610,125,david6473374,,"Bald Hills, Queensland, Australia"
415610,125,de730,,"Iowa City, IA, United States"
415610,125,daniel270,,", , "
415610,125,beverley278,,"Saturna, British Columbia, Canada"
415610,125,stanhope897,,"Modesto, CA, United States"
415610,125,jillian164,,"Vence, , France"
415610,125,charlieandjulie370,,"Golden Beach, Qld, Australia"
415610,125,foreclosedjapa,,"Osaka, , Japan"
415610,125,carol389,,"Caboolture , Qld, Australia"
415610,125,mark270,,", Georgia, United States"
415610,125,Glasgow,,"Glasgow, , United Kingdom"
415610,125,CL,,"Slagelse, , Denmark"
415610,125,frederico576,,"Lisboa, Lisboa, Portugal"
415610,125,tonny403,,", , Netherlands"
415610,125,garry778,,"Ipswich, Queensland, Australia"
415610,125,diederik816,,"Leiden, Zuid-Holland, Netherlands"
415610,125,AstridVanDerVleu,,"Den Haag, Zuid Holland, Netherlands"
415610,125,mike2958457,,"Oakville, Ontario, Canada"
415610,125,ronald874,,"Andover, Minnesota, United States"
415610,125,david362,,"Littleton, MA, United States"
415610,125,helen682,,"Balingup, Western Australia, Australia"
415610,125,eileen515,,"Buchanan, NY, United States"
415610,125,shree805,,"LOTUS Team, Bay Area, CA, United States"
415610,125,barbara8939363,,"Miltown Malbay, Clare, Ireland"
415610,125,james718,,", , "
415610,125,oakview147,,"Andover, MN, United States"
415610,125,r392,,"Bay Area, CA, United States"
415610,125,raaboll,,"Andover, MN, United States"
415610,125,Sabbelbine72,,", Belgium &, Germany"
415610,125,claire673,,"Portland, OR, United States"
415610,125,don402,,"Fremont, CA, United States"
415610,125,nicolai773,,"Oslo, , Norway"
415610,125,carloseduardo296,,", , "
415610,125,nullplu,,", , Germany"
415610,125,desotopirates497,,"De Soto, WI USA, United States"
415610,125,iago952,,", , Spain"
415610,125,michael428,,"toronto, Ontario, Canada"
415610,125,rburhu,,"San Francisco, CA, United States"
415610,125,margo606,,"Denver, , United States"
415610,125,kevinjohnso,,"Cambridge, Ontario, Canada"
415610,125,emmanuel343,,"vanves, france, France"
415610,125,shiwui905,,"Hsindian, Taipei City, Taiwan"
415610,125,david443,,"Las Vegas, NV, United States"
415610,125,mark801,,", , United Kingdom"
415610,125,chris519,,", , "
415610,125,fredrik785,,"Stocksund, Stockholm, Sweden"
415610,125,faye824,,"Pompton Lakes, NJ, United States"
415610,125,nea,,"endz, uk, United Kingdom"
415610,125,steve597,,"Springfield, MO, United States"
415610,125,OKImAKiw,,"Bristol, , United Kingdom"
415610,125,trogdorfamily762,,", Connecticut, United States"
415610,125,mackenzie200,,"Seattle, WA, United States"
415610,125,lisa852,,"Toronto, , Canada"
415610,125,nicola981,,"Manchester, England, United Kingdom"
415610,125,andrepa,,"Garbagnate Milanese, , Italy"
415610,125,anette393,,"Berlin, , Germany"
415610,125,powerfu,,"Santa Cruz, CA, United States"
415610,125,cindy403,,"Winnipeg, Manitoba, Canada"
415610,125,emofun,,"Las Vegas, Nevada, United States"
415610,125,colleen226,,", , "
415610,125,mark9681318,,"Toronto, Ontario, Canada"
