Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Is_Fellow
419722,97,ken141,no
419722,97,celina584,no
419722,97,richard806,no
419722,97,barbara561,no
419722,97,renate425,no
419722,97,scott516,no
419722,97,margaret457,no
419722,97,darren198,no
419722,97,mark158,no
419722,97,bellarmine859,no
419722,97,bob415,no
419722,97,mirek553,no
419722,97,adrienne978,no
419722,97,nancy114,no
419722,97,simon880,no
419722,97,jonathan856,no
419722,97,kevin357,no
419722,97,adam257,no
419722,97,sierrafoundatio,no
419722,97,smirn,no
419722,97,anthonia532,no
419722,97,szucheng256,no
419722,97,jerry417,no
419722,97,sheila806,no
419360,82,edith609,no
419360,82,betty173,no
419360,82,shirley186,no
419360,82,nancy731,no
419360,82,tara788,no
419360,82,penguinsforthewi,no
419360,82,breianne728,no
419360,82,helen596,no
419360,82,ken759,no
419360,82,jocelyne233,no
419360,82,joan792,no
419360,82,trixie181,no
419360,82,deda501,no
419360,82,maria710,no
419360,82,markus146,no
419360,82,helen682,no
419360,82,treeny513,no
419360,82,marye366,no
419360,82,kurt906,no
419360,82,jorge573,no
419360,82,peter735,no
419360,82,hal970,no
419360,82,guy590,no
419360,82,manfrommagdalena562,no
419360,82,tim128,no
419360,82,james7848448,no
419360,82,larry763,no
419360,82,jessicasarah389,no
419360,82,joan374,no
419360,82,nejc,no
419360,82,wanda935,no
419360,82,nicola217,no
419360,82,stefan304,no
419360,82,liana260,no
419360,82,marnie195,no
419360,82,wilbur793,no
419360,82,marie6070322,no
419360,82,meredith292,no
419360,82,lisa583,no
419360,82,andreas238,no
419360,82,linda326,no
419360,82,robertandliza245,no
419360,82,kimberly1878325,no
419360,82,sayoko661,no
419360,82,jeff307,no
419360,82,quyen718,no
419360,82,vincent115,no
419360,82,kristi346,no
419360,82,janice793,no
419360,82,robin862,no
419360,82,andrea992,no
419360,82,carolnelso,no
419360,82,laurence535,no
419360,82,dianne825,no
419360,82,ada465,no
419360,82,christina432,no
419360,82,smdete,no
419360,82,nicholas208,no
419360,82,gail784,no
419360,82,samuel501,no
419360,82,jawahar192,no
419360,82,hayley459,no
419360,82,randy521,no
419360,82,miguelP,no
419360,82,jp813,no
419360,82,brian9773778,no
419360,82,armando590,no
419360,82,john333,no
419360,82,james868,no
419360,82,rajesh590,no
419360,82,kat371,no
419360,82,myongha456,no
419360,82,alejandra452,no
419360,82,lisa931,no
419360,82,loren178,no
419360,82,harry148,no
419360,82,robert4902240,no
419360,82,john4752852,no
419360,82,brad143,no
419360,82,jeanphilippe726,no
419360,82,will671,no
419360,82,rebecca524,no
418764,35,sajit120,no
418764,35,allanandeffie149,no
418764,35,andrea847,no
418764,35,michaeljael113,no
418764,35,lmill,no
418764,35,ktanga,no
418764,35,lori687,no
418764,35,slavek550,no
418764,35,mark639,no
418764,35,joelle579,no
418764,35,michael144,no
418764,35,sandra790,no
418764,35,jessica1250770,no
418764,35,pam366,no
418764,35,PM,no
418764,35,michele636,no
418764,35,stevie269,no
418764,35,ville228,no
418764,35,maryanne178,no
418764,35,robert6892404,no
418764,35,ian253,no
418764,35,ellen385,no
418764,35,lindsay760,no
418764,35,brian528,no
418764,35,sigrid961,no
418764,35,jason310,no
418764,35,yasu804,no
418764,35,william545,no
418764,35,lucascerver,no
418764,35,rina629,no
418764,35,karen235,no
418764,35,heather164,no
418764,35,paivi590,no
418764,35,peter9768186,no
418764,35,pamela936,no
416615,12,trangsru,no
416615,12,denis635,no
